serial,question,option1,option2,option3,option4,correct,subject
103,The difference between the compound interest and the simple interest on a certain sum at 12% p.a. for two years is Rs.90. What will be the value of the amount at the end of 3 years?, 9000ÿ,6250ÿ,8530.80ÿ,8780.8,d,quants
104,"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill the tank in 36 minutes, then the slower pipe alone will be able to fill the tank in:",81 min.,108 min.,144 min.,192 min.,c,quants
105,"The ratio of the number of boys and girls in a college is 7 : 8. If the percentage increase in the number of boys and girls be 20% and 10% respectively, what will be the new ratio?",08:09,17:18,21 : 22ÿÿÿ,Cannot be determined,c,quants
106,Raghavÿ borrows Rs.2550 to be paid back with compound interest at the rate of 4% per annum by the end of 2 years in two equal yearly instalments. How much will each instalment be ?,Rs.1275ÿÿÿÿÿÿ ,Rs.1283 ,Rs.1352ÿÿÿÿÿÿÿÿÿÿÿ ,Rs.1377,c,quants
107,A train 110 metres long is running with a speed of 60 kmph. In what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going?,5 sec,6 sec,7 sec,10 sec,b,quants
108,Simple interest on a certain sum of money for 3 years at 8% per annum is half the compound interest on Rs. 4000 for 2 years at 10% per annum. The sum placed on simple interest is:,Rs.1550ÿÿ,Rs.1650ÿÿÿÿÿÿÿ ,Rs.1750ÿÿÿÿÿÿ ,Rs.2000ÿ,c,quants
109," The ratio of incomes of two person P1 and P2 is 5 : 4 and the ratio of their expenditures is 3 : 2. If at the end of the year, each saves Rs.1600, then what is the income of P1?",Rs.800 ,Rs.2400 ,Rs.4000 ,Rs3200,c,quants
110,"Theÿ averageÿ weight ofÿ 29 studentsÿ isÿ 28 kg.ÿ Byÿ theÿ admissionÿ ofÿ aÿ newÿ student,ÿ theÿaverageÿ weightÿ isÿ reducedÿ toÿ 27.8 kg.ÿ Theÿ weightÿ ofÿ theÿ newÿ studentÿ is",22 kg,ÿÿÿ  21.6 kg, 22.4 kg,ÿÿÿ 21 kgÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
111,A man invested an amount of Rs.8000 in a fixed deposit scheme for 2 years at compound interest of 5% per annum. How much amount will Albert get on maturity of the fixed deposit ?,Rs.8600ÿÿÿÿÿÿ ,Rs.8620ÿ,Rs.8820ÿÿÿÿÿÿ ,Rs. 8840,c,quants
112,"Three taps A, B and C can fill a tank in 12, 15 and 20 hours respectively. If A is open all the time and B and C are open for one hour each alternately, the tank will be full in:",6 hours,6  hours 5 minutes,7 hours,7 hours 12 minutes,c,quants
113,"Ram, who is half as efficient as Krish, will take 24 days to complete a work if he worked alone. If Ram and Krish worked together, how long will they take to complete the work?",16 daysÿ, 12 daysÿÿ, 8 daysÿÿ,18 days,c,quants
114,"A box contains 3 white balls, 4 black balls and 5 yellow balls. In how many ways can 4 balls be drawn from the box, if at least one yellow ball is to be included in the draw?",652,547,425,356,c,quants
115,"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?",120 m,240 m,300 m,None of these,b,quants
116,"A, B and C can do a work in 5 days, 10 days and 15 days respectively. They started together to do the work but after 2 days A and B left. C did the remaining work (in days)",1,3,5,4,d,quants
117,"There are 28 stations between Ernakulam and Chennai. How many second class tickets have to be printed, so that a passenger can travel from one station to any other station?",800,820,850,870,d,quants
118,"Two trains, each 100 m long, moving in opposite directions, cross each other in 8 seconds. If one is moving twice as fast the other, then the speed of the faster train is:",30 km/hr,45 km/hr,60 km/hr,75 km/hr,c,quants
119,Ram covers a part of the journey at 20 kmph and the balance at 70 kmph taking total of 8 hours to cover the distance of 400 km. How many hours has been driving at 20 kmph?,2 hoursÿ,3 hours 20 minutesÿ,1hours 40 minutesÿ,3 hours 12 minutes,d,quants
120,"A tank is filled in 5 hours by three pipes A, B and C. The pipe C is twice as fast as B and B is twice as fast as A. How much time will pipe A alone take to fill the tank?",20 hours,25 hours,35 hours,Cannot be determined,c,quants
121,"From a group of 5men and 4 women, 3 persons are to be selected to form a committee so that at least 2 men are there are on the committee. In how many ways can it be done?",20,50,65,86ÿÿÿÿÿÿ ÿÿÿÿÿ,b,quants
122,There are 2 brothers among a group of 20 persons. In how many ways can the group be arranged around a circle so that there is exactly one person between the two brothers?, 2 * 19!ÿÿÿÿÿÿÿÿÿÿÿÿÿ,18! * 18ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, 19! * 18ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,2 * 18!,d,quants
123," A number when divided by 3 leaves a remainder 1. When the quotient is divided by 2, it leaves a remainder 1. What will be the remainder when the number is divided by 6?",2,3,4,5,c,quants
124,In how many ways can the letters of the word EDUCATION be rearranged so that the relative position of the vowels and consonants remain the same as in the word EDUCATION?,9!/4ÿÿÿÿ,9!/(4!*5!),4!*5!,None of these,c,quants
125,Aÿ mixture ofÿ 20 kgÿ ofÿ spiritÿ andÿ waterÿ containsÿ 10%ÿ water.ÿ Howÿ muchÿ waterÿ mustÿ beÿaddedÿ toÿ thisÿ mixtureÿ toÿ raiseÿ theÿ percentageÿ ofÿ waterÿ toÿ 25%,4 kg, 5 kg, 8 kg, 30 kg,a,quants
126,"When a student weighing 45 kgs left a class, the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?",57 kgsÿÿÿÿÿÿÿÿÿÿÿÿ, 56.8 kgsÿÿÿÿÿÿ,58.2 kgsÿÿ,52.2 kgs,a,quants
127,Eightÿ kilograms ofÿ riceÿ costing Rs. 16ÿ perÿ kgÿ isÿ mixedÿ with fourÿ kilograms of riceÿ costingÿ Rs. 22 perÿ kg.ÿ Whatÿ isÿ theÿ averageÿ priceÿ ofÿ theÿ mixture?,20,18,16,19ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
128, A girl was asked to multiply a certain number by 43. She multiplied it by 34 and got his answer less thanÿ the correct one by 1206. Find the number to be multiplied.,130,132,134,136,c,quants
129,"Let n be the number of different 5 digit numbers, divisible by 4 with the digits 1, 2, 3, 4, 5 and 6, no digit being repeated in the numbers. What is the value of n?",144ÿÿ,168,192ÿÿ,None of these,c,quants
130,"Aÿ sumÿ ofÿ Rs. 395ÿ wasÿÿ dividedÿ amongÿ A, B, andÿ Cÿ inÿ suchÿ aÿ wayÿ thatÿ Bÿ getsÿ 25%ÿ moreÿ thanÿ Aÿ andÿ 20%ÿ moreÿ thanÿ C.ÿ Whatÿ isÿ theÿ shareÿ ofÿÿ A?", Rs.195, Rs.180,Rs. 98, Rs. 120ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,d,quants
131,2 men and 4 boys can complete a work in 4 days. 5 men and 6 boys can complete the same work in 3 days. The work done by 2 boys is equal to the work of how many men?,4,5,6,7,b,quants
132,"The average age of a group of 12 students is 20years. If 4 more students join the group, the average age increases by 1 year. The average age of the new students is",24 ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,26 ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,23 ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,22,a,quants
133,"Ram, Krish and Bhim can complete a work in 30 days. Ifÿÿ Ram and Krish together can complete the same work in 40 days, then how long will Bhim take to complete it?",60,80,100,120,d,quants
134,A mixture of 85 kg contains milk and water in the ratio 27 : 7. How much more water is to be added to get a new mixture containing milk and water in the ratio 3:1?,5 kgÿÿÿÿ ,6.5 kgÿÿÿÿÿÿÿÿÿÿ ,7.5 kgÿÿÿÿÿÿÿÿÿ ,8 kg,a,quants
135,"Theÿ sumÿ ofÿ theÿ firstÿ eightÿ termsÿ ofÿ aÿ geometricÿ seriesÿ isÿ 10,001ÿ timesÿÿ theÿ sumÿ ofÿ itsÿ fourÿ terms .ÿ Findÿ theÿ commonÿ ratioÿ ofÿ theseÿ series","1,000",9,10,100ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
136,Three numbers which are co-prime to each other are such that the product of the first two is 551 and that of the last two is 1073. The sum of the three numbers is:,75,81,85,89,c,quants
137,"A and B started a business investing Rs. 90,000 and Rs 20,000 respectively. In what ratio the profit earned after 2 years be divided between A and B respectively?",09:02,03:02, 18:20,18:04,a,quants
138,"A can finish a work in 20 days, B in 15 days and C in 12 days. B and C start the work but are forced to leave after 2 days. The remaining work was done by A in :",10,11,13,14,d,quants
139," If the simple interest on a sum of money for 2 years at 5% per annum is Rs.50, what is the compound interest on the same at the same rate and for the same time?",Rs. 52 ÿÿÿÿÿÿÿÿÿ ,Rs. 51.25ÿÿÿÿÿ ,Rs. 54.25 ÿ ÿÿ ,Rs. 60,b,quants
140,"Findÿ theÿ numberÿ ofÿ terms inÿ anÿ arithmeticÿ progressionÿÿ withÿ theÿ firstÿ termÿ 2ÿ andÿ theÿ lastÿ termÿ being 62, givenÿ thatÿ commonÿ differenceÿ isÿ 2.",31,40,22,27,a,quants
141,If the annual rate of simple interest increases from 10% to 12.5% .Then a man?s yearly income from an investment increases by Rs.1250. His principle amount is:,"Rs,45000ÿÿÿÿ ","Rs.50,000ÿÿÿÿ ","Rs. 60,000ÿÿ ","Rs.65,000",b,quants
142,"A tap can fill a tank in 6 hours. After half the tank is filled, three more similar taps are opened. What is the total time taken to fill the tank completely?",3 hrs 15 min,3 hrs 45 min,4 hrs,4 hrs 15 min,b,quants
143, The interest on a certain deposit at 4.5% p.a. is Rs. 405 in one year. How much will the additional interest in one year be on the same deposit at 5% p.a. ?,Rs.50ÿÿÿÿÿÿÿÿÿÿÿ ,Rs. 45ÿÿÿÿÿÿÿÿÿ ,Rs.40.5ÿÿÿÿÿÿÿÿ ,Rs. 48.5,b,quants
144,"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?",4,10,15,16,d,quants
145,"Theÿ sumÿ ofÿ theÿ termsÿ ofÿ anÿ infiniteÿ G.Pÿ isÿ 7ÿ andÿ theÿ sumÿ ofÿ theÿ cubesÿ ofÿ theÿ termsÿ isÿ 1,225.ÿ Findÿÿ theÿ firstÿ termÿ ofÿ theÿ series.",35/3,35/2,15-Feb,9/4ÿ,a,quants
146,A man can rowÿ a boat at 10 kmph in still water andÿ the speed of the stream is 8 kmph. What is the time taken to row a distance of 90 km down the stream ?,8hrs,5 hrsÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,15 hrs ÿÿÿÿÿÿÿÿ ,20 hrs,b,quants
147,"The difference of two numbers is 1365. On dividing the larger number by the smaller, we get 6 as quotient and 15 as reminder. What is the smaller number ?",240,270,295,360,b,quants
148,Pipe A can fill a tank in 12 hours. Due to a leak at the bottom it takes 20 hours to fill the tank. In what time the leak alone can empty the full tank?,18 hours, 23 hours, 28 hours, 30 hours,d,quants
149,A merchant marks his goods up by 75% above his cost price. Whatis the maximum % Amount that he can offer so that he ends up sellingat no profit or loss?,75%,46.67%,300%,42.85%,c,quants
150,"A, B, C subscribe Rs. 50000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs.35000 A receives:",Rs. 11900, Rs. 8400, Rs. 14700,Rs. 13600,c,quants
151,"It takes 10 days for digging a trench of 100 m long, 50 m broad and 10 m deep.ÿ What length of trench,25 m broad and 15 m deep can be dug in 30 days ?",400 mÿÿÿÿÿÿÿÿÿ ,200 mÿÿÿÿÿÿÿÿÿ ,100 m ÿÿÿÿÿÿÿÿ , 89m,a,quants
152,Average cost of 5 apples and 4 mangoes is Rs.36. The average cost of 7 apples and 8 mangoes is Rs.48. Find the total cost of 24 apples and 24 mangoes.,Rs.1044ÿÿÿÿÿÿÿÿÿÿÿÿÿ, RS.2088 ÿÿÿÿÿÿÿÿÿ,Rs.720ÿÿ, Rs.324,b,quants
153,A merchant marks his goods in such a way that the profit onsale of 50 articles is equal to the selling price of 25 articles.What is his profit margin?,25%,50%,100%,66.67%,b,quants
154,"The ratio of investments of A, B and C is 5:6:7. If they share the profit in the ratio of 5:9:14, then find the ratio of their periods of investments.",02:03:04,03:05:06, 3:2:4, 2:4:3,a,quants
155,"P and Q invested in a business. They earned some profit which they divided in the ratio of 2:3. If P invested Rs.60, 000, the amount invested by Q is:","Rs. 65,000","Rs. 70,000","Rs. 80,000"," Rs. 90,000",d,quants
156,"Fiveÿ timesÿ theÿ fifthÿ termÿ ofÿ anÿ A.Pÿ isÿ equalÿ toÿ sixÿ timesÿ theÿ sixthÿ termÿ ofÿ theÿ A.P,ÿ Whatÿ isÿ theÿ valueÿ ofÿ theÿ eleventhÿ term?",1,5,0,2,c,quants
157,"Two pipes A and B can fill a tank in 20 and 30 minutes respectively. If both the pipes are used together, then how long will it take to fill the tank?",12 min,15 min,25 min,50 min,a,quants
158,A person can row 750 metresÿ against the stream in 11 1by4 minutes and returns in 7 and half minutes. The speed of the person in the still water is :,2 km/hr,3 km/hrÿÿÿÿÿÿÿÿ ,4km/hrÿÿÿÿÿÿÿÿÿ ,5 km/hr,d,quants
159,Findÿ theÿÿ lastÿ termÿÿ ofÿ aÿ G.P whoseÿ firstÿ termÿ isÿ 9ÿ andÿ commonÿ ratio is ( 1/3 )ÿ ifÿ theÿ sumÿ ofÿ theÿ termsÿ ofÿ theÿ G.Pÿ is ( 40/3 ),1 by 3,2 by 5,¬,2/3ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
160,"Speed of a boat in still water is 16km/h. If it can travel 20km downstream in the same time as it can travel 12 km upstream, the rate of stream is.ÿ",1km/hÿ,2km/hÿ,4km/hÿ,5km/h,c,quants
161,"If??? means is less than?, ?$? means ?is greater than?and œ?means ?is equal to?and given thatÿa? b,cœd and c$b,then which of the following is true ?",d?a,b$d,a?b?c,a?c,a,reasoning
162,"A sum of money is to be distributed among A, B, C, D in the proportion of 5 : 2 : 4 : 3. If C gets Rs. 1000 more than D, what is the total amount?", Rs. 14000ÿÿ,Rs. 15000ÿÿ, Rs. 20000ÿÿ,None of these,a,quants
163,"The width of a rectangular hall is half of its length. If the area of the hall is 450 sq.m, what is the difference between its length and breadth?",8m,10m,12m,15m,d,quants
164,"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",45 km/hr,50 km/hr,54 km/hr,55 km/hr,b,quants
165,A trader makes a profit equal to the selling price of 75articles when he sold 100 of the articles. What % profit did he make in the transaction?,33.33%,75%,300%,150%,c,quants
166,"Vijay invested Rs.50,000 partly at 10% and partly at 15%. His total income after a year was Rs.7000. How much did he invest at the rate of 10%?","Rs.40,000ÿ","Rs.40,000ÿ","Rs.12,000ÿ","Rs.20,000",b,quants
167," Anand and Deepak started a business investing Rs. 22,500 and Rs. 35,000 respectively. Out of a total profit of Rs. 13,800, Deepak?s share is :", Rs. 5400, Rs.7200,Rs. 8400,Rs. 9600,c,quants
168,"Rs.900 is divided among Maya, Annie, Saiji so that Maya receives half as much as Annie and Annie half as much as Saiji. Then Saiji?s share is :",Rs.200, Rs.300,Rs.400, Rs.600,c,quants
169,Thereÿ areÿ nÿ arithmeticÿ meansÿ betweenÿ 3ÿ andÿ 45ÿ suchÿ thatÿ theÿ sumÿ ofÿ theseÿ arithmeticÿ meansÿ isÿ 552.ÿ findÿÿ theÿ valueÿÿ ofÿ n.,11,15,17,23,d,quants
170,"Introducing a man to her husband, a woman said, ?His brother?s father is the only son of my grandfather.? How is the woman related to this man?",Mother,Aunt,Sister,daughter,c,reasoning
171,How many words can be formed by re-arranging the letters of the word ASCENT such that A and T occupy the first and last position respectively?,5!ÿÿÿÿÿ,4!ÿÿÿÿÿÿÿÿÿÿÿÿ,6! - 2!ÿÿÿÿÿÿÿ,6! / 2!,b,quants
172,Findÿ theÿ commonÿ ratioÿ ofÿ threeÿ numbersÿ inÿ G.Pÿ whoseÿ productÿ isÿ 216ÿ andÿ theÿ sumÿÿ ofÿ theÿ productsÿ takenÿ inÿ pairsÿ isÿ 114.,2ÿ orÿ «,2/3 or 3/2,? orÿ 4/3,4ÿ orÿ ¬ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
173, In how many ways can 22 books on English and 20 books on Hindi be placed in a row on a shelf so that two books on Hindi may not be together?,4586,5896,2415,1771,d,quants
174,A letter lock has 3 rings each containing 6 letters. What is the maximum number of false trials that can be made before the lock is opened?, 3*26C6, (26C6)3,ÿ26C6. 3!,215,d,quants
175,"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:",4,5,6,8,a,quants
176,"Renu can do a piece of work in 6 days, but with the help of her friend Suma , she can do it in 4 days. In what time Suma can do it alone?",10,12,14,15,b,quants
177,The salaryÿ ofÿ all officersÿ isÿ increasedÿ twice successivelyÿ byÿ 20%.ÿ Whatÿ isÿ theÿ netÿ percentageÿ increaseÿ inÿ theirÿ salaries?,20%,ÿ40%,21%,44%,d,quants
178,"By how many degrees does the hour hand lag behind the minute handÿ in a span of 42 minutes, if initially they are at the same position?

",233 degree,211 degree,231 degree,None of these,c,reasoning
179, If Arun?s birthday is on May 25 which is Monday and his sister?s birthday is on July 13. Which day of the week is his sister?s birthday?,Mondayÿÿÿÿ ÿ,Wednesdayÿÿ,Thursdayÿÿÿÿÿÿÿÿÿ,Friday,a,reasoning
180,Vishwanath was walking on the road early morning after the sunrise and his shadow was failing to his left. Which direction was he facing?,East,North, West,Either  East or West,b,reasoning
181,A sum of money is borrowed and paid back in two annual installments of Rs.882 each allowing 5% compound interest. The sum borrowed was :,Rs.1620ÿÿÿÿÿÿ ,Rs. 1640ÿ,Rs.1680 ,Rs.1700,b,quants
182,"If a man rows at the rate of 6 kmph in still water and his rate aginst the current is 4.5 kmph, then the man?s rate along the current is",6 kmphÿ ,7.5 kmphÿÿÿÿ ,6.5kmphÿÿÿÿÿ ,8 kmphÿÿÿÿÿÿÿ,b,quants
183," A sum of Rs. 1360 has been divided among A, B and C such that A gets 2 /3 of what B gets and B gets 1 / 4 of what C gets. B's share is:",Rs.120ÿÿÿ,Rs. 160ÿÿÿ,Rs.240ÿÿÿ,Rs.300,c,quants
184,"Manu, Manju and Maya can do a work in 90, 30 and 45 days respectively. If they work together, in how many days will they complete work?",15,10,20,25,a,quants
185,"A team of 8 students goes on an excursion, in two cars, of which one can seat 5 and the other only 4. In how many ways can they travel?",9ÿÿÿÿÿÿÿÿ,26ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,126ÿÿÿÿÿÿÿÿÿÿÿÿÿ,3920,c,quants
186,The speeds of three motor bikes are in the ratio 6 : 5 : 4.ÿ The ratio between the time taken by them to travel the same distance is :,10:12:15,12 : 10 : 8ÿÿÿ ,15 : 12: 10ÿÿ ,10:15:12,a,quants
187,A trader professes to sell his goods at a loss of 8% but weights900 grams in place of a kg weight. Find his real loss or gain percent.,2% loss, 2.22% gain, 2% gain, None ofthese,b,quants
188," How many words with or without meaning, can be formed by using all the letters of the word, ?ORANGE?, using each letter exactly once?",700,720,750,800,b,quants
189, A and B can do a work in 60 days; B and C can do it in 120 days; A and C can do it in 80 days. In what time A alone can do the work?,100,90,80,70,b,quants
190,"Ifÿ?x?means 'added to'ÿ?ö?means 'multiplied by';ÿ?+?means 'subtracted from' andÿ?-? means ?divided by',then simplify 24+36-12x 8ö4= ?",36,53,5,20,b,reasoning
191,A number when divided b the sum of 555 and 445 gives two times their difference as quotient and 30 as the remainder. The number is:,1220ÿÿ,1250ÿ,22030,22030,d,quants
192," 40 men can catch 200 sharks in 20 days working 6 hours a day. In how many days 25 men can catch 300 sharks working 4 hours a day?
",30,34,24,20,c,quants
193,One-fifth of Ramu?s expenditure is equal to one-half of his savings. If his monthly income is Rs.6300 how much amount does he save?,ÿRs.1550,Rs.1800,ÿRs.2000,Rs.2350,b,quants
194,A goods train runs at the speed of 72 kmph and crosses a 250 m long platform in 26 seconds. What is the length of the goods train?,230 m,240 m,260 m,270 m,d,quants
195,"There is enough provisions for 600 men in an army camp for 25 days. If there were 300 men less, how long will the provision last?",35 days, 40 days, 45 days, 50 days,d,quants
196," If ?-? stands for ?x?,ÿ ?x? stands for ?+?,ÿ ?+?stands for ?ö? and ?ö? stands for ?-?,then what is the value of 9ö18x15+3-6x12 ?",24 ÿ ÿ ÿ ÿ ÿ ÿ ÿ ÿ ,30,33,42,c,reasoning
197,"In how many ways can 5 letters be posted in 3 post boxes, if any number of letters can be posted in all of the three post boxes?",5C3ÿÿÿ, 5P3ÿÿÿÿÿÿÿÿÿÿÿ, 53ÿÿÿÿÿÿÿÿÿÿÿÿ,35,d,quants
198,"6. How many of the following numbers are divisible by 3 but not by 9?2133, 2343, 3474, 4131, 5286, 5340, 6336, 7347, 8115, 9276",5,6,7,None of these,b,quants
199,In a company 10% of male staff are same in number as 1/4thÿof the female staff. What is the ratio ofÿmale staff to female staff,3 : 2ÿÿÿÿÿÿÿÿÿÿÿÿ ,5 : 2ÿÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿ ,2 : 1ÿÿÿÿÿÿÿÿÿÿÿÿ ,04:03,b,quants
200,The difference between simple interest and compound interest on Rs.1200 for one year at 10% per annum reckoned half-yearly is :,Rs.2.50ÿ,Rs.3 ÿÿÿÿÿÿÿÿÿÿÿ ,Rs.3.75ÿÿÿÿÿÿÿÿ ,Rs.4,b,quants
201,"What will Rs.1500 amount to in three years if it is invested in 20% p.a. compound interest, interest being compounded annually?",2400ÿ,2592ÿ,2678ÿ,2540,b,quants
202,Whatÿ isÿ theÿ sumÿ ofÿ theÿ firstÿ 15ÿ termsÿ ofÿ anÿ A.Pÿ whoseÿ 11 thÿ andÿÿ 7 thÿ termsÿ areÿ 5.25ÿ andÿ 3.25ÿ respectively,56.25,60,52.5,Noneÿ ofÿ theseÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
203,A can do a work in 14 days and working together A and B can do the same work in 10 days. In what timeÿcan B alone do the work?,25 days,30 days, 23 days, 35 days,d,quants
204,"If a number is chosen at random from the set {1, 2, 3?, 100}, then the probability that the chosen number is a perfect cube is", 1/25,1 by 2,4 by 13,1 by 10,a,quants
205,"A man has some hens and cows. If the number of heads be 48 and the number of feet equals 140, then the number of hens will be:",22,23,24,26,d,quants
206, Rohit and Rohan can complete a work in 12 days and 6 days respectively. How much time will they take when working together?,4,3,5,2,a,quants
207,A wheel rotates 10 times every minute and moves 20 cm during each rotation. How many metres does the wheel move in one hour?,6 metre ÿÿÿÿÿÿ ,12 metre ÿÿÿÿ ,120 metreÿÿÿ ,1200 metre,c,quants
208," How long will it take for a sum of money to grow from Rs.1250 to Rs.10,000, if it is invested at 12.5% p.a simple interest?",8 yearsÿ,64 yearsÿ, 72 yearsÿ,56 years,d,quants
209,"In one hour, a boat goes 11km along the stream and 5km against the stream.The speed of the boat in still water (in km/hr)is:",3,5,8,9,c,quants
210," Findÿ theÿ firstÿ termÿ andÿ theÿ commonÿ ratioÿ ofÿ aÿ G.Pÿ whoseÿ fourthÿÿ termÿÿ isÿ 250ÿ andÿ seventhÿ termÿ isÿ 31,250","2,25","4,5","1,16","2,5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",d,quants
211,The price of a T.V. is increased 30% before budget and inbudget 20% is also increased. Then total increase in price will be,50%,56%,55%,59%,d,quants
212, A boat moves upstream at the rate of 1 km in 20 minutes and down stream 1 km in 12 minutes. The speedÿ of the current is :,1 kmph ,2 kmphÿÿÿÿÿÿÿÿ ,3 kmphÿÿÿÿÿÿÿÿ ,2.5 kmph,a,quants
213,"Ifÿ sumÿ ofÿ threeÿ numbersÿ inÿ A.Pÿ isÿ 33ÿ andÿ sumÿ of theirÿÿ squaresÿ idÿ 491,ÿ thenÿ whatÿ areÿ theÿ threeÿ numbers.","5,11,17","7,11,15","9,11,13","3,11,19ÿÿ",d,quants
214," How many words of 4 consonants and 3 vowels can be made from 12 consonants and 4 vowels, if all the letters are different?",16C7 * 7!ÿÿ,12C4 * 4C3 * 7!ÿÿ,12C3 * 4C4ÿÿ,12C4 * 4C3,b,quants
215,A year starting with Monday and ending with Tuesday. How many days are there from 16th January to 15th March of  that year.,58,60,59,61,b,reasoning
216,"A train which has 390 m long, is running 45 kmph. In what time will it cross a person moving at 9 kmph in same direction ?",26 secÿÿÿÿÿÿÿÿÿ ,39 secÿÿÿÿÿÿÿÿÿ ,36 secÿÿÿÿÿÿÿÿÿÿ ,29 sec.,b,quants
217," 9 men can do a work in 12 days working 4 hours a day. In how many days can 6 men do the same work, working 8 hours a day?",18,9,10,8,b,quants
218,The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,276,299,322,345,c,quants
219,"The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:",1677,1683,2523,3363,b,quants
220,A is twice as good a workman as B and together they complete a work in 12 days. In how many days A alone can do the work?,32,34,35,36,d,quants
221,"p,q and r are three positive numbers and Q=(p+q+r) by 2; If (Q-p):(Q-q):(Q-r) = 2:5:7, then find the ratio of p,q and r ?",04:03:07,12:09:07,9:7:4ÿÿÿÿ,04:03:02,b,quants
222,Theÿ firstÿ termÿ ofÿ anÿ arithmeticÿ progressionÿ is 3ÿ andÿ theÿ 10ÿthÿÿ termÿ isÿ 21.ÿ Findÿ 15 thÿ andÿ 22 ndÿ terms.,"21,35","31,45","30,46","29,40ÿÿÿÿÿÿÿÿÿÿ",b,quants
223," In a group of donkeys and pigs, the numbers of legs are 16 more than twice the number of heads. The number of donkeys is",6,8,11,13,b,quants
224," When a number is divided by 31, the remainder is 29. When the same number is divided by 16, what will be the remainder?",11,13,15,data inadequeate,d,quants
225,What  quantity   of  water  should  be added  to  reduce  5 litres  of  45%   acidic  liquid   to  25%   acidic  liquid?,3litres,2litres, 4litres, 4.5litresÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
226,"In how many ways can the letters of the word, ?LANGUAGE? be arranged in such a way that the vowels always come together?",600,700,720,750,c,quants
227,"In how many ways can the letters of the word, ?KEYBOARD? be arranged in such a way that the vowels always come together?",4250,4520,4320,4230,c,quants
228," A number when divided successively in order by 4, 5 and 6. The remainders were respectively 2, 3 and 4. The number is:",214,476,954,1908,a,quants
229,Findÿ theÿ 15thÿÿtermÿ ofÿ anÿ arithmeticÿ progressionÿ whoseÿ firstÿ termÿ isÿ 2ÿ andÿ theÿ commonÿ differenceÿ isÿ 3.,45,38,44,40,c,quants
230,"A number when divided by 6 leaves a remainder 3. When the square of the same number is divided by 6, the remainder is:",0,1,2,3,d,quants
231,"How many ways can the letters of the word, ?MACHINE? be arranged so that the vowels may occupy only the odd positions?",210,576,144,456,b,quants
232,"In a 1000 m race Usha beats Shiny by 50 m. In the same race, by what time margin Shiny beat Mercy who runs at 4 m/s ?",100 sec.ÿÿÿÿÿÿ ,50 secÿÿÿÿÿÿÿÿ ,25 secÿÿÿÿÿÿÿÿÿ ,Data not sufficient,b,quants
233," The ages of Raju and Bijuÿ are in the ratio 3:1. Fifteen years hence, the ratio will be 2:1. Their present ages are:","30yrs, 10yrs ÿÿÿÿÿÿÿÿÿÿÿ ","45 yrs, 15yrsÿ ","21 yrs, 7 yrs ÿÿÿÿÿÿÿÿ ","60yrs, 20yrs",b,quants
234,"A and B together have Rs. 1210. If 4by15 of A's amount is equal to 2 by 5 of B's amount, how much amount does B have?",Rs. 460ÿÿ,Rs. 484ÿÿ,Rs. 550,Rs. 664,b,quants
