serial,question,option1,option2,option3,option4,correct,subject
146,"Theÿ averageÿ ofÿ 2,7,6 andÿ xÿ isÿ 5ÿÿ andÿ theÿ averageÿ ofÿ 18,1,6,xÿ andÿ yÿ is 10.ÿ Whatÿ isÿ theÿvalueÿ ofÿ y?",5,ÿÿÿ 10,ÿÿÿ  20,ÿÿÿ  30ÿÿÿÿÿÿÿÿÿÿÿ,c,quants
147,Theÿ averageÿ ofÿ 7 consecutive numbers is 20. The largestÿ ofÿ theseÿ numbersÿ is,20,ÿÿÿ 22,ÿÿÿ  23,ÿÿÿ 24ÿÿÿÿÿÿÿ,c,quants
148,Nineÿ personsÿ wentÿ toÿ a hotelÿ forÿ takingÿ their meals. Eightÿ ofÿ themÿ spent Rs 12ÿÿ eachÿ onÿtheirÿ mealsÿ andÿ theÿ ninth spentÿ Rs.8ÿ moreÿ thanÿ theÿ averageÿ expenditureÿ ofÿ allÿ the ÿnine.ÿWhatÿ wasÿ theÿ total moneyÿ spentÿ byÿ them?ÿ,117,ÿÿÿ  180,ÿÿÿ  150,ÿÿÿ 200ÿÿÿÿÿÿ,a,quants
149," Inÿ sevenÿ givenÿ numbers, theÿ averageÿ ofÿ firstÿ fourÿ numbersÿ isÿ 4ÿ andÿ that ofÿ theÿ lastÿ fourÿnumbersÿ isÿ alsoÿ 4.ÿ Ifÿ theÿ averageÿ ofÿ theseÿ sevenÿ numbersÿ isÿ 3,ÿ theÿ fourthÿ numberÿ is",3,4,7,11,d,quants
150,"Theÿ averageÿ weight ofÿ 29 studentsÿ isÿ 28 kg.ÿ Byÿ theÿ admissionÿ ofÿ aÿ newÿ student,ÿ theÿaverageÿ weightÿ isÿ reducedÿ toÿ 27.8 kg.ÿ Theÿ weightÿ ofÿ theÿ newÿ studentÿ is",22 kg,ÿÿÿ  21.6 kg, 22.4 kg,ÿÿÿ 21 kgÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
151,Theÿ averageÿ ageÿ ofÿ aÿ committeeÿ ofÿ 8ÿ membersÿ isÿ 40ÿ years. A member agedÿ 55ÿ yearsÿretiredÿ andÿ hisÿ placeÿ wasÿ takenÿ byÿ anotherÿ memberÿ agedÿ 39ÿ years . Theÿ averageÿ ageÿ ofÿpresentÿ committeeÿ is;, 39 years,ÿÿÿ 38 years,ÿÿÿ 36 years,ÿÿÿ 35 years,b,quants
152,"Eightÿ persons participatedÿ inÿ aÿ shootingÿ competition. Theÿ topÿ scoreÿ inÿ theÿ competition isÿ 85ÿpoints. Hadÿ theÿ topÿ scoreÿ beenÿ 92ÿ pointsÿ insteadÿ ofÿ 85ÿ points,ÿ theÿ averageÿ scoreÿ wouldÿhaveÿ beenÿ 84.ÿ Findÿ theÿ number ofÿ pointsÿ actually scoredÿ inÿ theÿ competition.",645,ÿÿ 655,ÿÿ  665,ÿÿ 636ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
153,Findÿ theÿ averageÿ ofÿ allÿ evenÿ numbersÿ uptoÿ 75.,35,ÿÿÿÿ 36,ÿÿÿÿ  38,ÿÿÿÿ  34,c,quants
154,"Theÿ averageÿ markÿ ofÿ aÿ classÿ ofÿ twentyÿ studentsÿ isÿ 64.ÿ Ifÿ threeÿ studentsÿ whoseÿ marksÿareÿ 32,28ÿ andÿ 34ÿ areÿ removedÿ ,ÿ thenÿ findÿ theÿ approximateÿ averageÿ markÿ ofÿ theÿ remainingÿstudentsÿ ofÿ theÿ class.",71,ÿÿÿÿ 74,ÿÿÿÿ  57,ÿÿÿÿ  70ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,d,quants
155, Theÿ numberÿ ofÿ studentsÿ inÿ theÿ threeÿ sectionsÿ ofÿ aÿ classÿ areÿ inÿ theÿ ratioÿ 2:3:4.ÿ Theÿaverageÿ marksÿ scoredÿ inÿ eachÿ ofÿ theseÿ sectionsÿ isÿ inÿ theÿ ratioÿ 4:3:1.ÿ Byÿ whatÿ percentÿ isÿtheÿ averageÿ markÿ ofÿ theÿ secondÿ sectionÿ moreÿ thanÿ theÿ classÿ average?,23.27%,28.57%,32.38%,36.74%,b,quants
156," Theÿ averageÿ ageÿ ofÿ 40ÿ studentsÿ isÿ 8 years.ÿ Ifÿ the age ofÿ teacherÿ isÿ alsoÿ includedÿ , thenÿtheirÿ averageÿ ageÿ increasesÿ by halfÿ aÿ year.ÿ Whatÿ is the ageÿ ofÿ the teacher?", 45 years, 48.5 years,28.5 years,ÿ26.5 yearsÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
157,Eightÿ kilograms ofÿ riceÿ costing Rs. 16ÿ perÿ kgÿ isÿ mixedÿ with fourÿ kilograms of riceÿ costingÿ Rs. 22 perÿ kg.ÿ Whatÿ isÿ theÿ averageÿ priceÿ ofÿ theÿ mixture?,20,18,16,19ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
158,"Howÿ manyÿ kilogramsÿ ofÿ teaÿ powder costingÿÿ Rs. 31ÿ perÿ kgÿ beÿ mixedÿ withÿ 36ÿ kilogramsÿ ofÿteaÿ powderÿ costingÿ Rs. 43 per kg,ÿ suchÿ thatÿ theÿ mixtureÿ whenÿ soldÿ atÿ Rs. 44 per kgÿ givesÿprofitÿ of 10%?",12,15,20,10,a,quants
159,"Aÿ solutionÿ ofÿ 66ÿ litresÿ containsÿ milkÿ andÿ waterÿ inÿ theÿ ratioÿ 7:x.ÿ Ifÿ fourÿ litresÿ ofÿ waterÿ isÿadded toÿ theÿ solution,ÿ theÿ ratioÿ becomesÿ 3:2,ÿ findÿ theÿ valueÿ ofÿ x?",8,5,3,4,d,quants
160,Aÿ singleÿ refinedÿ oilÿ canÿ containsÿ 20%ÿ impurities.ÿ Afterÿ double ? refiningÿ itÿ containsÿ 4% impurities.ÿ Howÿ muchÿ ofÿ double- refinedÿ oilÿ canÿ beÿ obtainedÿ fromÿ 30ÿ litresÿ of singleÿrefinedÿ oil?,24.0 litres,24.8 litres, 25.0 litres,25.5 litresÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
161,Aÿ mixture ofÿ 20 kgÿ ofÿ spiritÿ andÿ waterÿ containsÿ 10%ÿ water.ÿ Howÿ muchÿ waterÿ mustÿ beÿaddedÿ toÿ thisÿ mixtureÿ toÿ raiseÿ theÿ percentageÿ ofÿ waterÿ toÿ 25%,4 kg, 5 kg, 8 kg, 30 kg,a,quants
162,"Aÿ canÿÿ containsÿ aÿ mixtureÿ ofÿ twoÿ liquidsÿ A andÿ Bÿ inÿ theÿ ratioÿ 7:5.ÿ Whenÿ 9ÿ litresÿ ofÿmixtureÿ areÿ drawnÿ offÿ andÿ theÿ canÿ isÿ filledÿ withÿ B,ÿ theÿ ratioÿ ofÿ A andÿ Bÿ becomesÿ 7:9.ÿHowÿ manyÿÿ litres ofÿ liquid A wasÿ containedÿ byÿ theÿ canÿÿ initially?",25,21,20,10ÿ,b,quants
163,"Equalÿ weightsÿÿ ofÿ twoÿ alloysÿ containingÿ tin, copperÿ andÿ leadÿ inÿ theÿ ratioÿÿ 3:2:7ÿ andÿ4:11:3ÿ areÿ meltedÿÿ andÿ mixedÿ together.ÿ Whatÿ isÿ the ratioÿ ofÿ tin,ÿ copperÿ andÿ leadÿ inÿ theÿresultantÿ alloy?",41:81:37,33:91:81, 17:28:27, 51:86:89ÿÿÿÿÿÿ,c,quants
164,"The average wages of a worker during a fortnight comprising 15 consecutive working days was Rs.90 per day. During the first 7 days, his average wages was Rs.87/day and the average wages during the last 7 days was Rs.92 /day. What was his wage on the 8th day?",83,92,90,97,d,quants
165,The average of 5 quantities is 6. The average of 3 of them is 8. What is the average of the remaining two numbers?,6.5,4,3,3.5,c,quants
166," The average temperature on Wednesday, Thursday and Friday was 250. The average temperature on Thursday, Friday and Saturday was 240. If the temperature on Saturday was 270, what was the temperature on Wednesday?",240ÿÿÿÿ,210ÿÿÿÿÿÿÿÿ,270ÿÿÿÿÿÿÿÿÿÿÿÿÿ,300,d,quants
167,"The average age of a group of 12 students is 20years. If 4 more students join the group, the average age increases by 1 year. The average age of the new students is",24 ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,26 ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,23 ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,22,a,quants
168,"When a student weighing 45 kgs left a class, the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?",57 kgsÿÿÿÿÿÿÿÿÿÿÿÿ, 56.8 kgsÿÿÿÿÿÿ,58.2 kgsÿÿ,52.2 kgs,a,quants
169, The average of 5 quantities is 10 and the average of 3 of them is 9. What is the average of the remaining 2?,11ÿÿÿÿÿÿ, 12ÿÿÿÿÿÿÿÿÿÿÿÿ, 11.5ÿÿÿÿÿÿÿÿÿÿ,12.5,c,quants
170,The average age of a family of 5 members is 20 years. If the age of the youngest member be 10 years then what was the average age of the family at the time of the birth of the youngest member?,13.5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14ÿÿÿÿÿÿÿÿÿÿÿÿÿ,15 ÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿ,12.5,d,quants
171,Average cost of 5 apples and 4 mangoes is Rs.36. The average cost of 7 apples and 8 mangoes is Rs.48. Find the total cost of 24 apples and 24 mangoes.,Rs.1044ÿÿÿÿÿÿÿÿÿÿÿÿÿ, RS.2088 ÿÿÿÿÿÿÿÿÿ,Rs.720ÿÿ, Rs.324,b,quants
172," Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:",Rs. 169.50ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,Rs. 170ÿÿÿÿÿ,Rs. 175.50 ÿÿÿÿÿÿÿÿÿÿÿ,Rs. 18,c,quants
173," A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?",1/3ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, 1/4ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,1/5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, 1/7,c,quants
174,What percent is 2 minutes 24 seconds of an hour?,6%,ÿ2%,ÿ4%,8%,c,quants
175, Addingÿ 20%ÿ ofÿ xÿ toÿ xÿ isÿ equivalentÿ toÿ multiplyingÿ xÿ byÿ whichÿ ofÿ theÿ following?,12.5,ÿ1.05,1.15,1.2,d,quants
176,What is the value ofÿ 81/3%ÿ ofÿÿ 600+ÿ 37ÿ«ÿ ofÿ 400,100,300,150,ÿ200,d,quants
177,Twoÿ thirdÿ ofÿ three fifthÿÿ ofÿ fiveÿ sixthÿ ofÿ aÿ numberÿ isÿ whatÿ percentageÿ ofÿ thatÿ number?,66ÿ2/3ÿ%,ÿ33ÿ1/3ÿ%,ÿ60%,ÿ40%,b,quants
178,"Dueÿ to fallÿ in manpower , the productionÿ in a factoryÿ decreasesÿ byÿ 40%, Byÿ whatÿ percentageÿÿ shouldÿ theÿ workingÿ hoursÿ beÿ increasedÿ toÿ restoreÿ theÿ originalÿ levelÿ ofÿ production?",66ÿ2/3ÿ%,46ÿ1/3ÿ%,25%,40%,a,quants
179,The salaryÿ ofÿ all officersÿ isÿ increasedÿ twice successivelyÿ byÿ 20%.ÿ Whatÿ isÿ theÿ netÿ percentageÿ increaseÿ inÿ theirÿ salaries?,20%,ÿ40%,21%,44%,d,quants
180,"Inÿ anÿ examinationÿ itÿ isÿ necessaryÿ forÿ aÿ candidateÿ toÿ getÿÿ 45 %ÿ ofÿ theÿ maximumÿ marksÿ toÿ pass. Aÿ candidateÿ whoÿ getsÿ 180ÿ marks, fails byÿ 45 marks. Findÿ theÿ maximumÿ marks.",450,600,500,550,c,quants
181,10 litresÿ ofÿ waterÿ isÿ addedÿ toÿ 50 litresÿ ofÿ aÿ solutionÿ containingÿ 20%ÿ ofÿ alcoholÿ inÿ water . Whatÿ isÿ theÿ strengthÿ ofÿ alcoholÿ inÿ theÿ solutionÿ now ?,20%,16ÿ2/3ÿ%,12ÿ1/2ÿ%,33 1/3ÿ%,b,quants
182,"Theÿ populationÿ of a townÿ increaseÿ annually by 20% .ÿ Ifÿ theÿ presentÿÿ populationÿ isÿ 2,00,000, thenÿ whatÿ isÿ theÿ differenceÿ inÿ populationÿ afterÿ twoÿ yearsÿ andÿ three years","ÿ63,250","ÿ48,800","60,800","57,600",d,quants
183,"Populationÿ ofÿ aÿ cityÿ decreasesÿ byÿ 10%ÿ atÿ theÿ endÿ ofÿ firstÿ yearÿ andÿ increasesÿ byÿÿ 10%ÿ atÿ theÿ endÿ ofÿ secondÿ yearÿ andÿ againÿ decreasesÿ byÿ 10%ÿ atÿ theÿ endÿ ofÿ thirdÿ year.ÿ Ifÿ theÿ populationÿ ofÿ theÿ cityÿ atÿ theÿ endÿ ofÿ thirdÿ yearÿ isÿ 4455,ÿ thenÿ whatÿ wasÿ theÿ populationÿ ofÿ theÿ cityÿ atÿ theÿ beginningÿ ofÿ theÿ firstÿ year?","5,000","ÿ4,500","4,950","ÿ1,000",a,quants
184,"Ifÿ theÿ priceÿ ofÿ anÿ articleÿ decreasesÿ byÿ 111/9ÿ% andÿ theÿ saleÿ ofÿ theÿ articleÿ increasesÿ byÿ 12ÿ«ÿ%,ÿ whatÿ isÿ theÿ netÿ effectÿ onÿ revenue?",ÿ1% loss,1% gain,No loss or no gain,ÿCannotÿ beÿ determined,c,quants
185,"Inÿ anÿ examÿ 80%ÿ ofÿ theÿ boysÿ andÿ 40%ÿ ofÿ the girlsÿ passed.ÿ The numberÿ ofÿ girlsÿ whoÿ passedÿ isÿ 120, whichÿ isÿ 2/3rdÿofÿ theÿ numberÿ ofÿ boysÿ whoÿ failed.ÿ Whatÿ isÿ theÿ totalÿ numberÿ ofÿ studentsÿ whoÿ appearedÿ forÿ theÿ exam?",1200,380,3800,2180ÿÿ,a,quants
186,"Theÿ population ofÿ citiesÿ A and B is equal. Theÿ populationÿ ofÿ city Aÿ increasesÿ inÿ twoÿ successiveÿ yearsÿ byÿ 20%ÿ andÿ 15%ÿ respectively andÿ thatÿ ofÿ cityÿ Bÿ increasesÿ successivelyÿ byÿ 20%ÿ andÿ 10%ÿ respectively.ÿ Ifÿ theÿ differenceÿ inÿ theÿ populationÿ ofÿ twoÿ citiesÿ afterÿ 2ÿ yearsÿ isÿ 768,ÿ thenÿ whatÿ wasÿ theÿ totalÿ populationÿ ofÿ theÿ twoÿ citiesÿ initially?","12,800","26,500","24,600"," 25,600ÿ",d,quants
187,What  quantity   of  water  should  be added  to  reduce  5 litres  of  45%   acidic  liquid   to  25%   acidic  liquid?,3litres,2litres, 4litres, 4.5litresÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
188,"A, B, andÿ Cÿ contestÿ anÿ electionÿ fromÿ a particularÿ constituency.ÿ Aÿ andÿ Bÿ togetherÿ gotÿ 50%ÿ moreÿ votesÿ thanÿ C.ÿ Theÿ voteÿ shareÿ ofÿÿ Aÿ andÿ Cÿ togetherÿ isÿ 30ÿ percentageÿ pointsÿ moreÿ thanÿ theÿ voteÿ shareÿ ofÿ B. Whoÿ wonÿ theÿ election?", A, B, C,Cannotÿ beÿ determinedÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
189,"Inÿ anÿ examinationÿ amarÿ gotÿ 8%ÿ lessÿ thanÿ theÿ passÿ markÿ andÿ mohanÿ gotÿ 20%ÿ moreÿ thanÿ theÿ passÿ mark.ÿ Ifÿ theÿ differenceÿ betweenÿ theÿ percentageÿ ofÿ theirÿ markÿ isÿ 14,ÿ thenÿ whatÿ isÿ theÿ passÿ percentage",40%,50%,60%,cannotÿ beÿ determined.ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
190," Theÿ salariesÿ ofÿ A andÿ Bÿ togetherÿ isÿ Rs. 14,000. A spend 80%ÿ ofÿ hisÿ salaryÿ andÿ Bÿ spendsÿ 85%ÿ ofÿ hisÿ salary. Whatÿ isÿ theÿ salaryÿ ofÿ Bÿ ifÿ theirÿ savingsÿ areÿ equal?","Rs. 6,000","Rs. 8,000","Rs. 7,500"," Rs. 6,500",b,quants
191,"Aÿ sumÿ ofÿ Rs. 395ÿ wasÿÿ dividedÿ amongÿ A, B, andÿ Cÿ inÿ suchÿ aÿ wayÿ thatÿ Bÿ getsÿ 25%ÿ moreÿ thanÿ Aÿ andÿ 20%ÿ moreÿ thanÿ C.ÿ Whatÿ isÿ theÿ shareÿ ofÿÿ A?", Rs.195, Rs.180,Rs. 98, Rs. 120ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,d,quants
192,"Thereÿ areÿ threeÿ positiveÿ intigersÿ suchÿ thatÿ 70%ÿ of theÿ firstÿ number ,ÿ 58ÿ1/3% ofÿ secondÿ numberÿ andÿ 38ÿ8/9%ÿ ofÿ theÿ thirdÿ numberÿ areÿ allÿ equal.ÿ Whichÿ ofÿ theÿ followingÿ canÿ thoseÿ threeÿ numbersÿ be?","5,6,9","10,12,18","15,18,27", Allÿ theÿ three,d,quants
193,"Threeÿ timesÿ a numberÿ is 20%ÿ moreÿ thanÿ twiceÿ anotherÿ numberÿÿ whenÿ increasedÿ byÿ 105.ÿ Ifÿ twice the firstÿ number increasedÿ by 36ÿ is 20%ÿ lessÿ thanÿ threeÿ timesÿ ofÿ theÿ secondÿ number,ÿ thenÿ whatÿ isÿ theÿ firstÿ number?",150,162,180,None ofÿ these,b,quants
194,A trader makes a profit equal to the selling price of 75articles when he sold 100 of the articles. What % profit did he make in the transaction?,33.33%,75%,300%,150%,c,quants
195,A merchant buys two articles for Rs.600. He sells one of themat a profit of 22% and the other at a loss of 8% and makes no profitor loss in the end. What is the selling price of the article that hesold at a loss?,Rs. 404.80, Rs. 440,Rs. 536.80,Rs. 160,a,quants
196,A trader professes to sell his goods at a loss of 8% but weights900 grams in place of a kg weight. Find his real loss or gain percent.,2% loss, 2.22% gain, 2% gain, None ofthese,b,quants
197," Rajiv sold an article for Rs.56 which cost him Rs.x. If he hadgained x% on his outlay, what was his cost?",Rs. 40, Rs.45, Rs. 36,Rs. 28,a,quants
198,"A trader buys goods at a 19% Amount on the label price. If hewants to make a profit of 20% after allowing a Amount of 10%, by what% should his marked price be greater than the original labelprice?",8%,-3.80%,33.33%, None of these,a,quants
199,If apples are bought at the rate of 30 for a rupee. How manyapples must be sold for a rupee so as to gain 20%?,28,25,20,22,b,quants
200,"Two merchants sell, each an article for Rs.1000. If Merchant Acomputes his profit on cost price, while Merchant B computes hisprofit on selling price, they end up making profits of 25%respectively. By how much is the profit made by Merchant B greaterthan that of Merchant A?",Rs.66.67,Rs. 50,Rs.125,Rs.200,c,quants
201,A merchant marks his goods in such a way that the profit onsale of 50 articles is equal to the selling price of 25 articles.What is his profit margin?,25%,50%,100%,66.67%,b,quants
202,A merchant marks his goods up by 75% above his cost price. Whatis the maximum % Amount that he can offer so that he ends up sellingat no profit or loss?,75%,46.67%,300%,42.85%,c,quants
203,The price of a T.V. is increased 30% before budget and inbudget 20% is also increased. Then total increase in price will be,50%,56%,55%,59%,d,quants
204,The simple Interest on a certain sum of money at the rate of 4% p.a.ÿ for 5 years is Rs. 1680. At what rate of interest the same amount of interest can be received on the same sum after 4 years ?,5%ÿÿ ÿÿÿ ÿÿÿ ,6%,7%,8%,a,quants
205, The interest on a certain deposit at 4.5% p.a. is Rs. 405 in one year. How much will the additional interest in one year be on the same deposit at 5% p.a. ?,Rs.50ÿÿÿÿÿÿÿÿÿÿÿ ,Rs. 45ÿÿÿÿÿÿÿÿÿ ,Rs.40.5ÿÿÿÿÿÿÿÿ ,Rs. 48.5,b,quants
206,"Mr.Govind invested an amount of Rs.13900ÿ divided in two different schemes S1 and S2 at the simple interst rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in two years was Rs.3508, what was the amount invested in Scheme S2?",Rs.6400ÿÿÿÿÿÿ ,Rs.6500ÿÿÿÿÿÿÿ ,Rs.7200ÿÿÿÿÿÿ ,Rs.7500,a,quants
207,"A sum of money was invested in a bank at 8%ÿ simple interest p.a. for 3 years. Instead had it been invested in mutual fund at 8.5% p.a. simple interest for 4 years, the earning would have been Rs.500 more. What is the sum invested?",Rs.4500ÿÿÿ,Rs.5000ÿ,Rs.3500ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,Rs. 5500,b,quants
208,"A person borrowed Rs.600 @ 3% per annumÿ S.I and Rs.800 @ 4« % per annum on the agreement that the whole sum will be returned only when the total interest becomes Rs.246. The number of years, after which the borrowed sum is to be returned, is",2 yearsÿÿÿÿÿÿÿÿ ,3yearsÿ,4 yearsÿÿÿÿÿÿÿÿ ,5 years,c,quants
209," A sum of Rs.13000 is divided into three parts such that the simple interests accrued on them for two, three and four years respectively may be equal. Find the amount deposited for 4 years",5000,6000,4000,3000,d,quants
210," A sum of Rs.100 is lent at simple interest of 3% p.a. for the first month, 9% p.a. for the second month, 27% p.a. for the third month and so on. What is the total amount of interest earned at the end of the year approximately",Rs.797160ÿÿ ,Rs.791160,Rs.65930ÿÿÿÿÿ ,Rs.66430,d,quants
211," If the simple interest on a sum of money at twelve percent per annum for two years is Rs.3800, compound interest on the same sum for the same period at the same rate of interest is", Rs.4028ÿÿÿÿÿÿ ÿÿÿÿÿ ÿÿÿÿÿÿÿ ÿÿÿ,Rs.4100ÿÿ,Rs.4128,Rs.4228,a,quants
212,A sum of money is borrowed and paid back in two annual installments of Rs.882 each allowing 5% compound interest. The sum borrowed was :,Rs.1620ÿÿÿÿÿÿ ,Rs. 1640ÿ,Rs.1680 ,Rs.1700,b,quants
213,Rakesh invested an amount of Rs.12000 at the rate of 10% simple interest and another amount at the rate of 20% simple interest. The total interest earned at the end of one year on the amount invested became 14 p.c.p.a. Find the total amount invested .,Rs.20000,Rs.22000ÿÿÿÿÿ ,Rs.24000ÿÿÿÿ ,Rs.25000,a,quants
214,The rate of simple interest in two banks is in the ratio of 4 : 5 . Amith wants to deposit his total saving in these two banksÿ in such a way that he should receive equal half yearly interest from both. He should deposits the saving in the banks in the ratio of:,2 : 5 ÿÿÿ ,5 : 4ÿ ,5 : 3ÿÿÿÿÿÿÿÿÿÿÿ ,04:05,b,quants
215, A sum of money becomes triple itself in 16 years. In how many years will it become 5 times at the same rate?,32,15,27,30,a,quants
216,"The compound interest on Rs.30,000 at 7% per annum is Rs. 4347. The period (in years) is:", 2 ÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ , 2 «,3,4,a,quants
217, At what rate of compound interest per annum will a sum of Rs.1200 become Rs.1348.32 in 2 years?, 6%ÿÿ ÿÿÿÿÿÿÿÿÿÿÿ ÿÿ ,6.50%,7%ÿ,7.50%,a,quants
218," If the simple interest on a sum of money for 2 years at 5% per annum is Rs.50, what is the compound interest on the same at the same rate and for the same time?",Rs. 52 ÿÿÿÿÿÿÿÿÿ ,Rs. 51.25ÿÿÿÿÿ ,Rs. 54.25 ÿ ÿÿ ,Rs. 60,b,quants
219,Simple interest on a certain sum of money for 3 years at 8% per annum is half the compound interest on Rs. 4000 for 2 years at 10% per annum. The sum placed on simple interest is:,Rs.1550ÿÿ,Rs.1650ÿÿÿÿÿÿÿ ,Rs.1750ÿÿÿÿÿÿ ,Rs.2000ÿ,c,quants
220,if the annual rate of simple interest increases from 10% to 12.5% .Then a man?s yearly income from an investment increases by Rs.1250. His principle amount is:,"Rs,45000ÿÿÿÿ ","Rs.50,000ÿÿÿÿ ","Rs. 60,000ÿÿ ","Rs.65,000",b,quants
221,Raghavÿ borrows Rs.2550 to be paid back with compound interest at the rate of 4% per annum by the end of 2 years in two equal yearly instalments. How much will each instalment be ?,Rs.1275ÿÿÿÿÿÿ ,Rs.1283 ,Rs.1352ÿÿÿÿÿÿÿÿÿÿÿ ,Rs.1377,c,quants
222,A man invested an amount of Rs.8000 in a fixed deposit scheme for 2 years at compound interest of 5% per annum. How much amount will Albert get on maturity of the fixed deposit ?,Rs.8600ÿÿÿÿÿÿ ,Rs.8620ÿ,Rs.8820ÿÿÿÿÿÿ ,Rs. 8840,c,quants
223,The difference between simple interest and compound interest on Rs.1200 for one year at 10% per annum reckoned half-yearly is :,Rs.2.50ÿ,Rs.3 ÿÿÿÿÿÿÿÿÿÿÿ ,Rs.3.75ÿÿÿÿÿÿÿÿ ,Rs.4,b,quants
224,A father left a will of Rs.35 lakhs between his two daughters aged 8.5 and 16 such that they may get equal amounts when each of them reach the age of 21 years. The original amount of Rs.35 lakhs has been instructed to be invested at 10% p.a. simple interest. How much did the elder daughter get at the time of the will?,Rs.17.5 lakhsÿ,Rs.21 lakhsÿ, Rs.15 lakhsÿ, Rs. 20 lakhs,b,quants
225,"What will Rs.1500 amount to in three years if it is invested in 20% p.a. compound interest, interest being compounded annually?",2400ÿ,2592ÿ,2678ÿ,2540,b,quants
226,"If a sum of money grows to 144/121 times when invested for two years in a scheme where interest is compounded annually, how long will the same sum of money take to treble if invested at the same rate of interest in a scheme where interest is computed using simple interest method?", 9 yearsÿ,22 yearsÿ,18 yearsÿ,33 years,b,quants
227,"The population of a town was 3600 three years back. It is 4800 right now. What will be the population three years down the line, if the rate of growth of population has been constant over the years and has been compounding annually?",6000ÿ,6400ÿ, 7200ÿ,9600,b,quants
228,A man invests Rs.5000 for 3 years at 5% p.a. compound interest reckoned yearly. Income tax at the rate of 20% on the interest earned is deducted at the end of each year. Find the amount at the end of the third year.,5624.32ÿ,5630.50ÿ,5788.125ÿ,5627.2,a,quants
229,The difference between the compound interest and the simple interest on a certain sum at 12% p.a. for two years is Rs.90. What will be the value of the amount at the end of 3 years?, 9000ÿ,6250ÿ,8530.80ÿ,8780.8,d,quants
230,"Vijay invested Rs.50,000 partly at 10% and partly at 15%. His total income after a year was Rs.7000. How much did he invest at the rate of 10%?","Rs.40,000ÿ","Rs.40,000ÿ","Rs.12,000ÿ","Rs.20,000",b,quants
231,A sum of money invested for a certain number of years at 8% p.a. simple interest grows to Rs.180. The same sum of money invested for the same number of years at 4% p.a. simple interest grows to Rs.120 only. For how many years was the sum invested?,25 yearsÿ, 40 yearsÿ,33 years and 4 monthsÿ,Cannot be determined,a,quants
232," How long will it take for a sum of money to grow from Rs.1250 to Rs.10,000, if it is invested at 12.5% p.a simple interest?",8 yearsÿ,64 yearsÿ, 72 yearsÿ,56 years,d,quants
233," Rs.5887 is divided between Shyam and Ram, such that Shyam's share at the end of 9 years is equal to Ram's share at the end of 11 years, compounded annually at the rate of 5%. Find the share of Shyam.",2088ÿ,2000ÿ, 3087ÿ,None of these,c,quants
234,20.05 + 35.603- ?? =43.087,10.263,12.566,15.426,13.286,b,quants
235,Which of the following fraction is smallest?,23/28,14/15,15/19,21/24,c,quants
236,0.585858 is equivalent to the fraction?.,58/100,58/99,85/100,85/99,b,quants
237,The value of 3.236,47/198,3  4/198,48/98,58/36,a,quants
238,ÿ0.9*0.007=ÿ ??????????_________,0.063,0.0063,0.63,0.00063,d,quants
239,0.0015öÿ? = 0.003,0.05,0.005,0.5,5,c,quants
240,0.363*0.522+0.363*0.478 = ?,0.522,0.845,0.363,0.985,c,quants
241,If 7125?1.25= 5700< the value of 712.5ö12.5 is:,5.7,57,570,0.57,b,quants
242,The value of 34.31*0.473*1.567/0.0673*23.25*7.57 is,2,1.15,2.05,2.15,d,quants
