serial,question,option1,option2,option3,option4,correct,subject
150,A letter lock has 3 rings each containing 6 letters. What is the maximum number of false trials that can be made before the lock is opened?, 3*26C6, (26C6)3,˜26C6. 3!,215,d,quants
151,A letter lock has 3 rings each containing 6 letters. How many such three letter passwords can exist?,216,26C6˜*3,(26C6)3, (26C6)3˜*63,d,quants
152,How many different words can be formed from the word DAUGHTER so that ending and beginning letters are consonants?,7200,14400,360,1440,b,quants
153, In how many ways can 22 books on English and 20 books on Hindi be placed in a row on a shelf so that two books on Hindi may not be together?,4586,5896,2415,1771,d,quants
154,How many words can be formed by re-arranging the letters of the word ASCENT such that A and T occupy the first and last position respectively?,5!˜˜˜˜˜,4!˜˜˜˜˜˜˜˜˜˜˜˜,6! - 2!˜˜˜˜˜˜˜,6! / 2!,b,quants
155,There are 2 brothers among a group of 20 persons. In how many ways can the group be arranged around a circle so that there is exactly one person between the two brothers?, 2 * 19!˜˜˜˜˜˜˜˜˜˜˜˜˜,18! * 18˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜, 19! * 18˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜,2 * 18!,d,quants
156,There are 12 yes or no questions. How many ways can these be answered?,1024˜˜,2048˜˜˜˜˜˜˜˜˜˜˜˜,4096˜˜,144,c,quants
157,How many numbers are there between 100 and 1000 such that at least one of their digits is 6?,648˜˜˜˜,258˜˜˜˜˜˜˜˜˜˜˜,654˜˜˜˜˜˜˜˜˜˜˜˜,252,d,quants
158,"How many ways can 10 letters be posted in 5 post boxes, if each of the post boxes can take more than 10 letters?",510˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜,105˜˜˜˜˜˜˜˜˜˜˜,10P5˜,10C5,a,quants
159,In how many ways can the letters of the word EDUCATION be rearranged so that the relative position of the vowels and consonants remain the same as in the word EDUCATION?,9!/4˜˜˜˜,9!/(4!*5!),4!*5!,None of these,c,quants
160,In how many ways can 15 people be seated around two round tables with seating capacities of 7 and 8 people?,15!/(8!)˜˜˜˜˜˜˜˜˜˜˜˜,7!*8!˜˜˜˜˜˜˜˜˜˜˜˜, (15C8)*6!*7!˜˜˜˜˜˜˜˜˜˜˜˜,2*(15C7)*6!*7!,c,quants
161,If the letters of the word CHASM are rearranged to form 5 letter words such that none of the word repeat and the results arranged in ascending order as in a dictionary what is the rank of the word CHASM?,24˜,31˜, 32˜,30,c,quants
162,How many number of times will the digit '7' be written when listing the integers from 1 to 1000?,271˜˜˜˜,300˜˜˜˜˜˜˜˜˜˜˜˜,252˜˜˜˜˜˜˜˜˜˜˜,304,b,quants
163,What is the probability of getting at least one six in a single throw of three unbiased˜dice?,1 by 6,125/216˜˜˜˜˜˜˜ ,1 by 36,91/216,d,quants
164,Two dice are rolled. The probability of getting a sum of at least 9 is,13/36˜˜˜˜˜˜˜˜ ,5/18˜˜˜˜˜˜˜˜˜ ,35/36˜˜˜˜˜˜ ˜˜˜˜,11/36˜˜,b,quants
165,A number is selected at random from first thirty natural numbers. What is the chance that it is a˜multiple of either 3 or 13?,17/30˜,2/5˜˜˜˜˜˜˜˜ ,11/30˜˜˜˜˜˜˜˜˜ ,4 by 15,b,quants
166,The probability that a number selected at random from first 50 natural numbers is a composite˜number is,21/25˜,17/25˜,4/25˜,8 by 25,b,quants
167,Two letters are selected randomly from English alphabet simultaneously. What is the probability that one is a constant and the other a vowel?,10/67˜˜˜˜˜˜,21/65˜˜˜˜,44/65˜˜˜˜,2 by 13,b,quants
168,Two dice are rolled together. The probability that the sum of the numbers shown on the two dice is maximum or minimum is??,1/18˜˜˜˜˜˜˜˜˜˜,1/9˜˜˜˜˜˜,1/6˜˜˜˜˜˜˜,1 by 36,a,quants
169,Two cards are drawn at random from a pack of cards. The probability that both are queens or diamonds is??,20/221˜˜˜˜,15/221˜˜˜˜,13/221˜˜˜˜,14/221,d,quants
170,If a * b˜ =˜˜a+b / ab find the value of 5 * (5 * -2) :,-3,-10,-1.66,3/5˜,b,quants
171,The value of ˜1 + [1/(8 x 2)] + [1/(8 x 2?)] + [1/(8 x 2?)] is :,71/64,1 by 16,1 by 4,None of these,a,quants
172,The value of˜˜(x ? y)? + (y - z)? + (z ? x)? / 12 (x ? y) (y ? z) (z ? x) ˜is equal to :,0,1 by 12,1,1 by 4,d,quants
173, A girl was asked to multiply a certain number by 43. She multiplied it by 34 and got his answer less than˜ the correct one by 1206. Find the number to be multiplied.,130,132,134,136,c,quants
174,The value of 40 coins of 10 p and 20 p is Rs. 5.50. The number of 20 p coins is,15,25, 30˜˜,35,a,quants
175, How many 1/8s are there in 37˜1/2?,300,400,500,Can?t be determined,a,quants
176,How many pieces of 0.85 metres can be cut from a rod 42.5 metres long?,30,40,60, None of these,d,quants
177,((469 + 174)2˜- (469 - 174)2)/(469 x 174)) = ?,2˜˜˜,4˜˜˜, 295˜˜˜,643,b,quants
178,The simplified form of˜˜x9/2˜. –y7˜/  x7/2˜. –y3 is:,x2/y2,x2˜. y2,xy,x2/y,b,quants
179,Which among the following is the greatest?, 23^2,22^3,˜ 32^3, 33^3,d,quants
180,Solve for˜m˜if 49(7m) = 3433m + 6,-1.333333333,-2,-0.666666667,-1,b,quants
181,Solve for 2y^–2^2˜= 729.,¤3, ¤1,¤2,¤4,c,quants
182,–[200–[200–[200??..]]] = ?,200,10,1,20,a,quants
183,125 x 125 x 125 x 125 x 125 = 5?,5,3,15,2,c,quants
184,Number of prime factors in˜612˜x (35)28˜x (15)16˜  / (14)12˜x (21)11 is :,56,66,112,None of these,b,quants
185,The value of (–8)1/3˜is:,6,4,2,8,c,quants
186,The value of 51/4˜* (125)0.25˜is:,–5˜˜˜˜˜˜˜,5–5˜˜˜˜˜˜˜,5˜˜˜˜˜˜˜,25˜,c,quants
187,The value of (32/243)-4/5˜is:, 4/9˜˜˜˜˜˜˜,9/4˜˜˜˜˜˜˜,16/81˜˜˜˜˜˜˜,81/16,d,quants
188,(1/216)-2/3˜” (1/27)-4/3˜= ?,3/4˜˜˜˜˜˜˜, 2/3˜˜˜˜˜˜˜,4/9˜˜˜˜˜˜˜,1 by 8,c,quants
189,(2n+4˜-2.2n)/(2.2n+3) = 2-3˜is equal to:, 2n+1˜˜˜˜˜˜˜,-2n+1˜+ 1/8˜,9/8 - 2n˜˜˜˜˜˜˜,1,d,quants
190,The simplified form of (x7/2˜/x5/2).–y3 /–y )is :,x2/y˜˜˜˜˜˜˜, x3/y2˜˜˜˜˜˜˜˜˜˜˜,x6/y3˜˜˜˜˜˜˜,xy,d,quants
191,2 log10˜5 + log10˜8 ? ® log10˜4 = ?,2,4,2 + 2 log10˜2˜,4 - 4 log10˜2,a,quants
192,The value of (log9˜27 + log8˜32) is:,7 by 2,19/6˜,5/3˜,7,c,quants
193,The value of (1/log3˜60˜ + 1/log4˜60˜ + 1/log5˜60) is:,0,1,5,60,b,quants
194,The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,276,299,322,345,c,quants
195,Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,40,80,120,200,a,quants
196,The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,1,2,3,4,b,quants
197,Reduce  128352/238368 to the lowest terms,3 by 4,5 by 13,7 by 13,9 by 13,c,quants
198,The ratio of two numbers is 3 : 4 and their H.C.F. is 4. Their L.C.M. is:,12,16,24,48,d,quants
199,"The smallest number which when diminished by 7, is divisible 12, 16, 18, 21 and 28 is:",1008,1015,1022,1032,b,quants
200,252 can be expressed as a product of primes as:,2 x 2 x 3 x 3 x 7,2 x 2 x 2 x 3 x 7,3 x 3 x 3 x 3 x 7,2 x 3 x 3 x 3 x 7,a,quants
201,Three numbers which are co-prime to each other are such that the product of the first two is 551 and that of the last two is 1073. The sum of the three numbers is:,75,81,85,89,c,quants
202,Find the highest common factor of 36 and 84.,4,6,12,18,c,quants
203,Which of the following fraction is the largest ?,7 by 8,13 by 16,31 by 40,63 by 80,a,quants
204,Which of the following has the most number of divisors?,99,101,176,182,c,quants
205,The L.C.M. of two numbers is 48. The numbers are in the ratio 2 : 3. Then sum of the number is:,28,32,40,64,c,quants
206,A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is:,6 hours,10 hours,15 hours,30 hours,,quants
207,Two pipes can fill a tank in 20 and 24 minutes respectively and a waste pipe can empty 3 gallons per minute. All the three pipes working together can fill the tank in 15 minutes. The capacity of the tank is:,60 gallons,100 gallons,120 gallons,180 gallons,,quants
208,A large tanker can be filled by two pipes A and B in 60 minutes and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half?,15 min,20 min,27.5 min,30 min,,quants
